year,industry_code_ANZSIC,industry_name_ANZSIC,rme_size_grp,variable,value,unit
2016,B,Mining,d_10-19,Fixed tangible assets,229,DOLLARS(millions)
2016,B,Mining,e_20-49,Activity unit,24,COUNT
2016,B,Mining,e_20-49,Rolling mean employees,786,COUNT
2016,B,Mining,e_20-49,Salaries and wages paid,90,DOLLARS(millions)
2016,B,Mining,e_20-49,"Sales, government funding, grants and subsidies",854,DOLLARS(millions)
2016,B,Mining,e_20-49,Total income,872,DOLLARS(millions)
2016,B,Mining,e_20-49,Total expenditure,749,DOLLARS(millions)
2016,B,Mining,e_20-49,Operating profit before tax,239,DOLLARS(millions)
2016,B,Mining,e_20-49,Total assets,C,DOLLARS(millions)
2016,B,Mining,e_20-49,Fixed tangible assets,2050,DOLLARS(millions)
2016,B,Mining,f_50-99,Activity unit,12,COUNT
2016,B,Mining,f_50-99,Rolling mean employees,915,COUNT
2016,B,Mining,f_50-99,Salaries and wages paid,113,DOLLARS(millions)
2016,B,Mining,f_50-99,"Sales, government funding, grants and subsidies",745,DOLLARS(millions)
2016,B,Mining,f_50-99,Total income,1201,DOLLARS(millions)
2016,B,Mining,f_50-99,Total expenditure,842,DOLLARS(millions)
2016,B,Mining,f_50-99,Operating profit before tax,C,DOLLARS(millions)
2016,B,Mining,f_50-99,Total assets,C,DOLLARS(millions)
2016,B,Mining,f_50-99,Fixed tangible assets,266,DOLLARS(millions)
2016,B,Mining,g_100-199,Activity unit,3,COUNT
2016,B,Mining,g_100-199,Rolling mean employees,558,COUNT
2016,B,Mining,g_100-199,Salaries and wages paid,66,DOLLARS(millions)
2016,B,Mining,g_100-199,"Sales, government funding, grants and subsidies",787,DOLLARS(millions)
2016,B,Mining,g_100-199,Total income,871,DOLLARS(millions)
2016,B,Mining,g_100-199,Total expenditure,C,DOLLARS(millions)
2016,B,Mining,g_100-199,Operating profit before tax,C,DOLLARS(millions)
2016,B,Mining,g_100-199,Total assets,C,DOLLARS(millions)
2016,B,Mining,g_100-199,Fixed tangible assets,C,DOLLARS(millions)
2016,B,Mining,h_200+,Activity unit,6,COUNT
2016,B,Mining,h_200+,Rolling mean employees,1782,COUNT
2016,B,Mining,h_200+,Salaries and wages paid,226,DOLLARS(millions)
2016,B,Mining,h_200+,"Sales, government funding, grants and subsidies",1220,DOLLARS(millions)
2016,B,Mining,h_200+,Total income,1544,DOLLARS(millions)
2016,B,Mining,h_200+,Total expenditure,1454,DOLLARS(millions)
2016,B,Mining,h_200+,Operating profit before tax,-32,DOLLARS(millions)
2016,B,Mining,h_200+,Total assets,C,DOLLARS(millions)
2016,B,Mining,h_200+,Fixed tangible assets,C,DOLLARS(millions)
2016,B,Mining,i_Industry_Total,Activity unit,717,COUNT
2016,B,Mining,i_Industry_Total,Rolling mean employees,5151,COUNT
2016,B,Mining,i_Industry_Total,Salaries and wages paid,665,DOLLARS(millions)
2016,B,Mining,i_Industry_Total,"Sales, government funding, grants and subsidies",5285,DOLLARS(millions)
2016,B,Mining,i_Industry_Total,Total income,6389,DOLLARS(millions)
2016,B,Mining,i_Industry_Total,Total expenditure,6107,DOLLARS(millions)
2016,B,Mining,i_Industry_Total,Operating profit before tax,C,DOLLARS(millions)
2016,B,Mining,i_Industry_Total,Total assets,37525,DOLLARS(millions)
2016,B,Mining,i_Industry_Total,Fixed tangible assets,C,DOLLARS(millions)
2016,C,Manufacturing,a_0,Activity unit,9096,COUNT
2016,C,Manufacturing,a_0,Rolling mean employees,0,COUNT
2016,C,Manufacturing,a_0,Salaries and wages paid,247,DOLLARS(millions)
2016,C,Manufacturing,a_0,"Sales, government funding, grants and subsidies",2089,DOLLARS(millions)
2016,C,Manufacturing,a_0,Total income,2119,DOLLARS(millions)
2016,C,Manufacturing,a_0,Total expenditure,1851,DOLLARS(millions)
2016,C,Manufacturing,a_0,Operating profit before tax,260,DOLLARS(millions)
2016,C,Manufacturing,a_0,Total assets,2034,DOLLARS(millions)
2016,C,Manufacturing,a_0,Fixed tangible assets,790,DOLLARS(millions)
2016,C,Manufacturing,b_1-5,Activity unit,6726,COUNT
2016,C,Manufacturing,b_1-5,Rolling mean employees,14955,COUNT
2016,C,Manufacturing,b_1-5,Salaries and wages paid,724,DOLLARS(millions)
2016,C,Manufacturing,b_1-5,"Sales, government funding, grants and subsidies",3983,DOLLARS(millions)
2016,C,Manufacturing,b_1-5,Total income,4046,DOLLARS(millions)
2016,C,Manufacturing,b_1-5,Total expenditure,3831,DOLLARS(millions)
2016,C,Manufacturing,b_1-5,Operating profit before tax,202,DOLLARS(millions)
2016,C,Manufacturing,b_1-5,Total assets,2573,DOLLARS(millions)
2016,C,Manufacturing,b_1-5,Fixed tangible assets,749,DOLLARS(millions)
2016,C,Manufacturing,c_6-9,Activity unit,1803,COUNT
2016,C,Manufacturing,c_6-9,Rolling mean employees,12993,COUNT
2016,C,Manufacturing,c_6-9,Salaries and wages paid,596,DOLLARS(millions)
2016,C,Manufacturing,c_6-9,"Sales, government funding, grants and subsidies",2514,DOLLARS(millions)
2016,C,Manufacturing,c_6-9,Total income,2525,DOLLARS(millions)
2016,C,Manufacturing,c_6-9,Total expenditure,2326,DOLLARS(millions)
2016,C,Manufacturing,c_6-9,Operating profit before tax,229,DOLLARS(millions)
2016,C,Manufacturing,c_6-9,Total assets,1518,DOLLARS(millions)
2016,C,Manufacturing,c_6-9,Fixed tangible assets,399,DOLLARS(millions)
2016,C,Manufacturing,d_10-19,Activity unit,1830,COUNT
2016,C,Manufacturing,d_10-19,Rolling mean employees,25065,COUNT
2016,C,Manufacturing,d_10-19,Salaries and wages paid,1231,DOLLARS(millions)
2016,C,Manufacturing,d_10-19,"Sales, government funding, grants and subsidies",4673,DOLLARS(millions)
2016,C,Manufacturing,d_10-19,Total income,4706,DOLLARS(millions)
2016,C,Manufacturing,d_10-19,Total expenditure,4485,DOLLARS(millions)
2016,C,Manufacturing,d_10-19,Operating profit before tax,257,DOLLARS(millions)
2016,C,Manufacturing,d_10-19,Total assets,2836,DOLLARS(millions)
2016,C,Manufacturing,d_10-19,Fixed tangible assets,691,DOLLARS(millions)
2016,C,Manufacturing,e_20-49,Activity unit,1206,COUNT
2016,C,Manufacturing,e_20-49,Rolling mean employees,35547,COUNT
2016,C,Manufacturing,e_20-49,Salaries and wages paid,1901,DOLLARS(millions)
2016,C,Manufacturing,e_20-49,"Sales, government funding, grants and subsidies",8869,DOLLARS(millions)
2016,C,Manufacturing,e_20-49,Total income,8971,DOLLARS(millions)
2016,C,Manufacturing,e_20-49,Total expenditure,8358,DOLLARS(millions)
2016,C,Manufacturing,e_20-49,Operating profit before tax,691,DOLLARS(millions)
2016,C,Manufacturing,e_20-49,Total assets,6322,DOLLARS(millions)
2016,C,Manufacturing,e_20-49,Fixed tangible assets,1693,DOLLARS(millions)
2016,C,Manufacturing,f_50-99,Activity unit,402,COUNT
2016,C,Manufacturing,f_50-99,Rolling mean employees,27954,COUNT
2016,C,Manufacturing,f_50-99,Salaries and wages paid,1594,DOLLARS(millions)
2016,C,Manufacturing,f_50-99,"Sales, government funding, grants and subsidies",11249,DOLLARS(millions)
2016,C,Manufacturing,f_50-99,Total income,11396,DOLLARS(millions)
2016,C,Manufacturing,f_50-99,Total expenditure,10845,DOLLARS(millions)
2016,C,Manufacturing,f_50-99,Operating profit before tax,586,DOLLARS(millions)
2016,C,Manufacturing,f_50-99,Total assets,8407,DOLLARS(millions)
2016,C,Manufacturing,f_50-99,Fixed tangible assets,2582,DOLLARS(millions)
2016,C,Manufacturing,g_100-199,Activity unit,156,COUNT
2016,C,Manufacturing,g_100-199,Rolling mean employees,21159,COUNT
2016,C,Manufacturing,g_100-199,Salaries and wages paid,1453,DOLLARS(millions)
2016,C,Manufacturing,g_100-199,"Sales, government funding, grants and subsidies",11262,DOLLARS(millions)
2016,C,Manufacturing,g_100-199,Total income,11407,DOLLARS(millions)
2016,C,Manufacturing,g_100-199,Total expenditure,10738,DOLLARS(millions)
2016,C,Manufacturing,g_100-199,Operating profit before tax,701,DOLLARS(millions)
2016,C,Manufacturing,g_100-199,Total assets,8195,DOLLARS(millions)
2016,C,Manufacturing,g_100-199,Fixed tangible assets,2550,DOLLARS(millions)
2016,C,Manufacturing,h_200+,Activity unit,153,COUNT
2016,C,Manufacturing,h_200+,Rolling mean employees,87771,COUNT
2016,C,Manufacturing,h_200+,Salaries and wages paid,6388,DOLLARS(millions)
2016,C,Manufacturing,h_200+,"Sales, government funding, grants and subsidies",55390,DOLLARS(millions)
2016,C,Manufacturing,h_200+,Total income,56167,DOLLARS(millions)
2016,C,Manufacturing,h_200+,Total expenditure,52240,DOLLARS(millions)
2016,C,Manufacturing,h_200+,Operating profit before tax,3893,DOLLARS(millions)
2016,C,Manufacturing,h_200+,Total assets,46248,DOLLARS(millions)
2016,C,Manufacturing,h_200+,Fixed tangible assets,17210,DOLLARS(millions)
2016,C,Manufacturing,i_Industry_Total,Activity unit,21369,COUNT
2016,C,Manufacturing,i_Industry_Total,Rolling mean employees,225447,COUNT
2016,C,Manufacturing,i_Industry_Total,Salaries and wages paid,14135,DOLLARS(millions)
2016,C,Manufacturing,i_Industry_Total,"Sales, government funding, grants and subsidies",100029,DOLLARS(millions)
2016,C,Manufacturing,i_Industry_Total,Total income,101337,DOLLARS(millions)
2016,C,Manufacturing,i_Industry_Total,Total expenditure,94674,DOLLARS(millions)
2016,C,Manufacturing,i_Industry_Total,Operating profit before tax,6818,DOLLARS(millions)
2016,C,Manufacturing,i_Industry_Total,Total assets,78132,DOLLARS(millions)
2016,C,Manufacturing,i_Industry_Total,Fixed tangible assets,26664,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",a_0,Activity unit,582,COUNT
2016,D,"Electricity, Gas, Water and Waste Services",a_0,Rolling mean employees,0,COUNT
2016,D,"Electricity, Gas, Water and Waste Services",a_0,Salaries and wages paid,70,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",a_0,"Sales, government funding, grants and subsidies",C,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",a_0,Total income,2554,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",a_0,Total expenditure,2192,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",a_0,Operating profit before tax,365,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",a_0,Total assets,9525,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",a_0,Fixed tangible assets,7966,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",b_1-5,Activity unit,363,COUNT
2016,D,"Electricity, Gas, Water and Waste Services",b_1-5,Rolling mean employees,690,COUNT
2016,D,"Electricity, Gas, Water and Waste Services",b_1-5,Salaries and wages paid,42,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",b_1-5,"Sales, government funding, grants and subsidies",207,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",b_1-5,Total income,212,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",b_1-5,Total expenditure,192,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",b_1-5,Operating profit before tax,22,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",b_1-5,Total assets,464,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",b_1-5,Fixed tangible assets,217,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",c_6-9,Activity unit,66,COUNT
2016,D,"Electricity, Gas, Water and Waste Services",c_6-9,Rolling mean employees,498,COUNT
2016,D,"Electricity, Gas, Water and Waste Services",c_6-9,Salaries and wages paid,26,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",c_6-9,"Sales, government funding, grants and subsidies",160,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",c_6-9,Total income,161,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",c_6-9,Total expenditure,139,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",c_6-9,Operating profit before tax,23,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",c_6-9,Total assets,207,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",c_6-9,Fixed tangible assets,141,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",d_10-19,Activity unit,45,COUNT
2016,D,"Electricity, Gas, Water and Waste Services",d_10-19,Rolling mean employees,630,COUNT
2016,D,"Electricity, Gas, Water and Waste Services",d_10-19,Salaries and wages paid,31,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",d_10-19,"Sales, government funding, grants and subsidies",154,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",d_10-19,Total income,156,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",d_10-19,Total expenditure,126,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",d_10-19,Operating profit before tax,31,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",d_10-19,Total assets,401,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",d_10-19,Fixed tangible assets,285,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",e_20-49,Activity unit,27,COUNT
2016,D,"Electricity, Gas, Water and Waste Services",e_20-49,Rolling mean employees,828,COUNT
2016,D,"Electricity, Gas, Water and Waste Services",e_20-49,Salaries and wages paid,50,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",e_20-49,"Sales, government funding, grants and subsidies",314,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",e_20-49,Total income,323,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",e_20-49,Total expenditure,307,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",e_20-49,Operating profit before tax,14,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",e_20-49,Total assets,788,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",e_20-49,Fixed tangible assets,594,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",f_50-99,Activity unit,18,COUNT
2016,D,"Electricity, Gas, Water and Waste Services",f_50-99,Rolling mean employees,1245,COUNT
2016,D,"Electricity, Gas, Water and Waste Services",f_50-99,Salaries and wages paid,85,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",f_50-99,"Sales, government funding, grants and subsidies",536,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",f_50-99,Total income,590,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",f_50-99,Total expenditure,489,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",f_50-99,Operating profit before tax,C,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",f_50-99,Total assets,1084,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",f_50-99,Fixed tangible assets,814,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",g_100-199,Activity unit,12,COUNT
2016,D,"Electricity, Gas, Water and Waste Services",g_100-199,Rolling mean employees,1893,COUNT
2016,D,"Electricity, Gas, Water and Waste Services",g_100-199,Salaries and wages paid,142,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",g_100-199,"Sales, government funding, grants and subsidies",1048,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",g_100-199,Total income,1062,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",g_100-199,Total expenditure,913,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",g_100-199,Operating profit before tax,C,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",g_100-199,Total assets,3746,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",g_100-199,Fixed tangible assets,3126,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",h_200+,Activity unit,15,COUNT
2016,D,"Electricity, Gas, Water and Waste Services",h_200+,Rolling mean employees,10473,COUNT
2016,D,"Electricity, Gas, Water and Waste Services",h_200+,Salaries and wages paid,877,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",h_200+,"Sales, government funding, grants and subsidies",12248,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",h_200+,Total income,12604,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",h_200+,Total expenditure,11304,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",h_200+,Operating profit before tax,1647,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",h_200+,Total assets,49787,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",h_200+,Fixed tangible assets,40580,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",i_Industry_Total,Activity unit,1128,COUNT
2016,D,"Electricity, Gas, Water and Waste Services",i_Industry_Total,Rolling mean employees,16257,COUNT
2016,D,"Electricity, Gas, Water and Waste Services",i_Industry_Total,Salaries and wages paid,1323,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",i_Industry_Total,"Sales, government funding, grants and subsidies",C,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",i_Industry_Total,Total income,17662,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",i_Industry_Total,Total expenditure,15663,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",i_Industry_Total,Operating profit before tax,C,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",i_Industry_Total,Total assets,66003,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",i_Industry_Total,Fixed tangible assets,53723,DOLLARS(millions)
2016,E,Construction,a_0,Activity unit,32952,COUNT
2016,E,Construction,a_0,Rolling mean employees,0,COUNT
2016,E,Construction,a_0,Salaries and wages paid,1091,DOLLARS(millions)
2016,E,Construction,a_0,"Sales, government funding, grants and subsidies",9637,DOLLARS(millions)
2016,E,Construction,a_0,Total income,9746,DOLLARS(millions)
2016,E,Construction,a_0,Total expenditure,8998,DOLLARS(millions)
2016,E,Construction,a_0,Operating profit before tax,1339,DOLLARS(millions)
2016,E,Construction,a_0,Total assets,11283,DOLLARS(millions)
2016,E,Construction,a_0,Fixed tangible assets,2952,DOLLARS(millions)
2016,E,Construction,b_1-5,Activity unit,18090,COUNT
2016,E,Construction,b_1-5,Rolling mean employees,33288,COUNT
2016,E,Construction,b_1-5,Salaries and wages paid,1924,DOLLARS(millions)
2016,E,Construction,b_1-5,"Sales, government funding, grants and subsidies",9388,DOLLARS(millions)
2016,E,Construction,b_1-5,Total income,9483,DOLLARS(millions)
2016,E,Construction,b_1-5,Total expenditure,8778,DOLLARS(millions)
2016,E,Construction,b_1-5,Operating profit before tax,871,DOLLARS(millions)
2016,E,Construction,b_1-5,Total assets,5592,DOLLARS(millions)
2016,E,Construction,b_1-5,Fixed tangible assets,1291,DOLLARS(millions)
2016,E,Construction,c_6-9,Activity unit,2502,COUNT
2016,E,Construction,c_6-9,Rolling mean employees,17658,COUNT
2016,E,Construction,c_6-9,Salaries and wages paid,997,DOLLARS(millions)
2016,E,Construction,c_6-9,"Sales, government funding, grants and subsidies",4054,DOLLARS(millions)
2016,E,Construction,c_6-9,Total income,4071,DOLLARS(millions)
2016,E,Construction,c_6-9,Total expenditure,3799,DOLLARS(millions)
2016,E,Construction,c_6-9,Operating profit before tax,327,DOLLARS(millions)
2016,E,Construction,c_6-9,Total assets,1887,DOLLARS(millions)
2016,E,Construction,c_6-9,Fixed tangible assets,433,DOLLARS(millions)
2016,E,Construction,d_10-19,Activity unit,1839,COUNT
2016,E,Construction,d_10-19,Rolling mean employees,24642,COUNT
2016,E,Construction,d_10-19,Salaries and wages paid,1348,DOLLARS(millions)
2016,E,Construction,d_10-19,"Sales, government funding, grants and subsidies",5499,DOLLARS(millions)
2016,E,Construction,d_10-19,Total income,5521,DOLLARS(millions)
2016,E,Construction,d_10-19,Total expenditure,5333,DOLLARS(millions)
2016,E,Construction,d_10-19,Operating profit before tax,243,DOLLARS(millions)
2016,E,Construction,d_10-19,Total assets,2869,DOLLARS(millions)
2016,E,Construction,d_10-19,Fixed tangible assets,820,DOLLARS(millions)
2016,E,Construction,e_20-49,Activity unit,762,COUNT
2016,E,Construction,e_20-49,Rolling mean employees,21483,COUNT
2016,E,Construction,e_20-49,Salaries and wages paid,1271,DOLLARS(millions)
2016,E,Construction,e_20-49,"Sales, government funding, grants and subsidies",6037,DOLLARS(millions)
2016,E,Construction,e_20-49,Total income,6209,DOLLARS(millions)
2016,E,Construction,e_20-49,Total expenditure,5721,DOLLARS(millions)
2016,E,Construction,e_20-49,Operating profit before tax,389,DOLLARS(millions)
2016,E,Construction,e_20-49,Total assets,2481,DOLLARS(millions)
2016,E,Construction,e_20-49,Fixed tangible assets,576,DOLLARS(millions)
2016,E,Construction,f_50-99,Activity unit,195,COUNT
2016,E,Construction,f_50-99,Rolling mean employees,13146,COUNT
2016,E,Construction,f_50-99,Salaries and wages paid,827,DOLLARS(millions)
2016,E,Construction,f_50-99,"Sales, government funding, grants and subsidies",3835,DOLLARS(millions)
2016,E,Construction,f_50-99,Total income,3871,DOLLARS(millions)
2016,E,Construction,f_50-99,Total expenditure,3682,DOLLARS(millions)
2016,E,Construction,f_50-99,Operating profit before tax,260,DOLLARS(millions)
2016,E,Construction,f_50-99,Total assets,2328,DOLLARS(millions)
2016,E,Construction,f_50-99,Fixed tangible assets,413,DOLLARS(millions)
2016,E,Construction,g_100-199,Activity unit,60,COUNT
2016,E,Construction,g_100-199,Rolling mean employees,8007,COUNT
2016,E,Construction,g_100-199,Salaries and wages paid,510,DOLLARS(millions)
2016,E,Construction,g_100-199,"Sales, government funding, grants and subsidies",2835,DOLLARS(millions)
2016,E,Construction,g_100-199,Total income,2854,DOLLARS(millions)
2016,E,Construction,g_100-199,Total expenditure,2654,DOLLARS(millions)
2016,E,Construction,g_100-199,Operating profit before tax,222,DOLLARS(millions)
2016,E,Construction,g_100-199,Total assets,1415,DOLLARS(millions)
2016,E,Construction,g_100-199,Fixed tangible assets,420,DOLLARS(millions)
2016,E,Construction,h_200+,Activity unit,33,COUNT
2016,E,Construction,h_200+,Rolling mean employees,25332,COUNT
2016,E,Construction,h_200+,Salaries and wages paid,2025,DOLLARS(millions)
2016,E,Construction,h_200+,"Sales, government funding, grants and subsidies",8036,DOLLARS(millions)
2016,E,Construction,h_200+,Total income,8107,DOLLARS(millions)
2016,E,Construction,h_200+,Total expenditure,7912,DOLLARS(millions)
2016,E,Construction,h_200+,Operating profit before tax,245,DOLLARS(millions)
2016,E,Construction,h_200+,Total assets,3888,DOLLARS(millions)
2016,E,Construction,h_200+,Fixed tangible assets,817,DOLLARS(millions)
2016,E,Construction,i_Industry_Total,Activity unit,56433,COUNT
2016,E,Construction,i_Industry_Total,Rolling mean employees,143565,COUNT
2016,E,Construction,i_Industry_Total,Salaries and wages paid,9993,DOLLARS(millions)
2016,E,Construction,i_Industry_Total,"Sales, government funding, grants and subsidies",49322,DOLLARS(millions)
2016,E,Construction,i_Industry_Total,Total income,49861,DOLLARS(millions)
2016,E,Construction,i_Industry_Total,Total expenditure,46876,DOLLARS(millions)
2016,E,Construction,i_Industry_Total,Operating profit before tax,3895,DOLLARS(millions)
2016,E,Construction,i_Industry_Total,Total assets,31744,DOLLARS(millions)
2016,E,Construction,i_Industry_Total,Fixed tangible assets,7722,DOLLARS(millions)
2016,F,Wholesale Trade,a_0,Activity unit,8778,COUNT
2016,F,Wholesale Trade,a_0,Rolling mean employees,0,COUNT
2016,F,Wholesale Trade,a_0,Salaries and wages paid,303,DOLLARS(millions)
2016,F,Wholesale Trade,a_0,"Sales, government funding, grants and subsidies",6490,DOLLARS(millions)
2016,F,Wholesale Trade,a_0,Total income,6569,DOLLARS(millions)
2016,F,Wholesale Trade,a_0,Total expenditure,6041,DOLLARS(millions)
2016,F,Wholesale Trade,a_0,Operating profit before tax,524,DOLLARS(millions)
2016,F,Wholesale Trade,a_0,Total assets,4026,DOLLARS(millions)
2016,F,Wholesale Trade,a_0,Fixed tangible assets,839,DOLLARS(millions)
2016,F,Wholesale Trade,b_1-5,Activity unit,5568,COUNT
2016,F,Wholesale Trade,b_1-5,Rolling mean employees,12642,COUNT
2016,F,Wholesale Trade,b_1-5,Salaries and wages paid,761,DOLLARS(millions)
2016,F,Wholesale Trade,b_1-5,"Sales, government funding, grants and subsidies",8529,DOLLARS(millions)
2016,F,Wholesale Trade,b_1-5,Total income,8580,DOLLARS(millions)
2016,F,Wholesale Trade,b_1-5,Total expenditure,8160,DOLLARS(millions)
2016,F,Wholesale Trade,b_1-5,Operating profit before tax,528,DOLLARS(millions)
2016,F,Wholesale Trade,b_1-5,Total assets,4569,DOLLARS(millions)
2016,F,Wholesale Trade,b_1-5,Fixed tangible assets,569,DOLLARS(millions)
2016,F,Wholesale Trade,c_6-9,Activity unit,1305,COUNT
2016,F,Wholesale Trade,c_6-9,Rolling mean employees,9390,COUNT
2016,F,Wholesale Trade,c_6-9,Salaries and wages paid,553,DOLLARS(millions)
2016,F,Wholesale Trade,c_6-9,"Sales, government funding, grants and subsidies",5735,DOLLARS(millions)
2016,F,Wholesale Trade,c_6-9,Total income,5785,DOLLARS(millions)
2016,F,Wholesale Trade,c_6-9,Total expenditure,5498,DOLLARS(millions)
2016,F,Wholesale Trade,c_6-9,Operating profit before tax,297,DOLLARS(millions)
2016,F,Wholesale Trade,c_6-9,Total assets,2516,DOLLARS(millions)
2016,F,Wholesale Trade,c_6-9,Fixed tangible assets,216,DOLLARS(millions)
2016,F,Wholesale Trade,d_10-19,Activity unit,1113,COUNT
2016,F,Wholesale Trade,d_10-19,Rolling mean employees,14772,COUNT
2016,F,Wholesale Trade,d_10-19,Salaries and wages paid,870,DOLLARS(millions)
2016,F,Wholesale Trade,d_10-19,"Sales, government funding, grants and subsidies",8545,DOLLARS(millions)
2016,F,Wholesale Trade,d_10-19,Total income,8601,DOLLARS(millions)
2016,F,Wholesale Trade,d_10-19,Total expenditure,8200,DOLLARS(millions)
2016,F,Wholesale Trade,d_10-19,Operating profit before tax,395,DOLLARS(millions)
2016,F,Wholesale Trade,d_10-19,Total assets,4687,DOLLARS(millions)
2016,F,Wholesale Trade,d_10-19,Fixed tangible assets,360,DOLLARS(millions)
2016,F,Wholesale Trade,e_20-49,Activity unit,642,COUNT
2016,F,Wholesale Trade,e_20-49,Rolling mean employees,18975,COUNT
2016,F,Wholesale Trade,e_20-49,Salaries and wages paid,1304,DOLLARS(millions)
2016,F,Wholesale Trade,e_20-49,"Sales, government funding, grants and subsidies",14626,DOLLARS(millions)
2016,F,Wholesale Trade,e_20-49,Total income,14774,DOLLARS(millions)
2016,F,Wholesale Trade,e_20-49,Total expenditure,14085,DOLLARS(millions)
2016,F,Wholesale Trade,e_20-49,Operating profit before tax,824,DOLLARS(millions)
2016,F,Wholesale Trade,e_20-49,Total assets,7992,DOLLARS(millions)
2016,F,Wholesale Trade,e_20-49,Fixed tangible assets,811,DOLLARS(millions)
2016,F,Wholesale Trade,f_50-99,Activity unit,228,COUNT
2016,F,Wholesale Trade,f_50-99,Rolling mean employees,15615,COUNT
2016,F,Wholesale Trade,f_50-99,Salaries and wages paid,975,DOLLARS(millions)
2016,F,Wholesale Trade,f_50-99,"Sales, government funding, grants and subsidies",11123,DOLLARS(millions)
2016,F,Wholesale Trade,f_50-99,Total income,11448,DOLLARS(millions)
2016,F,Wholesale Trade,f_50-99,Total expenditure,10796,DOLLARS(millions)
2016,F,Wholesale Trade,f_50-99,Operating profit before tax,642,DOLLARS(millions)
